[9037, 9942, 1.0]
[10240, 10240, 0.0]
[7504, 10240, 0.0]
[8189, 10240, 1.0]
[9842, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[81, 128, 0.0]
[3749, 10240, 1.0]
[6384, 10240, 1.0]
[3404, 4778, 1.0]
[9936, 10240, 1.0]
[9295, 10240, 1.0]
[6459, 10240, 0.0]
[128, 7516, 1.0]
[10240, 10240, 0.0]
[5992, 6251, 0.0]
[9836, 10240, 1.0]
[178, 10240, 0.0]
[5257, 10240, 0.0]
[4066, 10240, 0.0]
[6286, 10240, 0.0]
[5687, 10240, 1.0]
[10240, 10240, 0.0]
[128, 4634, 1.0]
[10240, 10240, 1.0]
[529, 9339, 0.0]
[5243, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[128, 10240, 1.0]
[128, 9372, 1.0]
[6706, 9837, 0.0]
[9647, 10240, 1.0]
[128, 10240, 1.0]
[7803, 10240, 1.0]
[10240, 10240, 1.0]
[2817, 5924, 1.0]
[128, 10240, 0.0]
[10240, 10240, 0.0]
[128, 10240, 0.0]
[10240, 10240, 1.0]
[128, 4460, 1.0]
[8400, 10240, 1.0]
[128, 6584, 0.0]
[7664, 10240, 0.0]
[10056, 10240, 1.0]
[128, 10240, 0.0]
[4136, 10240, 1.0]
[10240, 10240, 1.0]
[8325, 10240, 1.0]
[2, 128, 0.0]
[128, 10240, 1.0]
[208, 7386, 0.0]
[8493, 10240, 1.0]
[128, 2561, 0.0]
[1480, 9476, 1.0]
[10240, 10240, 1.0]
[8492, 10240, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[10240, 10240, 0.0]
[128, 1538, 1.0]
[128, 10240, 1.0]
[128, 10015, 0.0]
[6636, 10187, 0.0]
[128, 6687, 1.0]
[8911, 10240, 1.0]
[3564, 10240, 1.0]
[5601, 10240, 0.0]
[10240, 10240, 0.0]
[10240, 10240, 1.0]
[7153, 10240, 1.0]
[128, 10240, 1.0]
[128, 10240, 0.0]
[128, 10240, 0.0]
[1181, 9136, 0.0]
[1683, 10107, 1.0]
[3383, 9045, 1.0]
[128, 7838, 0.0]
[10240, 10240, 1.0]
[3357, 5148, 1.0]
[1360, 10240, 0.0]
[128, 10240, 0.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[8490, 10240, 1.0]
[10240, 10240, 1.0]
[128, 6423, 1.0]
[128, 10240, 1.0]
[128, 10240, 1.0]
[1770, 10240, 0.0]
[128, 8341, 0.0]
[4090, 10240, 1.0]
[10240, 10240, 0.0]
[128, 9013, 1.0]
[2498, 8583, 1.0]
[7414, 10240, 1.0]
[10240, 10240, 0.0]
[8411, 10240, 0.0]
[128, 10240, 1.0]
[128, 7340, 0.0]
[10240, 10240, 1.0]
[128, 10190, 1.0]
[10240, 10240, 0.0]
[5897, 10240, 0.0]
[7386, 10240, 1.0]
[128, 10240, 1.0]
[10240, 10240, 0.0]
[2778, 6181, 0.0]
[128, 10240, 0.0]
[6282, 10240, 1.0]
[6150, 10240, 1.0]
[7655, 10240, 1.0]
[128, 6740, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[1244, 10240, 1.0]
[10240, 10240, 1.0]
[10240, 10240, 1.0]
[9970, 10240, 0.0]
[10240, 10240, 1.0]
[2, 10240, 1.0]
[128, 10240, 1.0]
[9538, 10240, 0.0]
[2462, 10240, 0.0]
[1723, 10240, 0.0]
[9479, 10240, 1.0]
[4575, 10240, 1.0]
[1752, 10240, 0.0]
[128, 10240, 1.0]
[2350, 9757, 0.0]
[10240, 10240, 0.0]
[8934, 10240, 0.0]
[4512, 10240, 0.0]
[2, 128, 0.0]
[5649, 10240, 1.0]
[5830, 5867, 0.0]
[9424, 10240, 0.0]
[9031, 10240, 1.0]
[128, 7860, 1.0]
[10240, 10240, 0.0]
[10240, 10240, 0.0]
[2563, 9908, 0.0]
[128, 8331, 1.0]
